model,raw_accuracy,raw_brier,raw_log_loss,raw_roc_auc,calibrated_accuracy,calibrated_brier,calibrated_log_loss,calibrated_roc_auc
regularized_logistic,0.6433915211970075,0.2208480632092319,0.6343500725290288,0.7065028110851286,0.6408977556109726,0.21730892643296115,0.6239428246363556,0.7065028110851286
random_forest,0.6134663341645885,0.22371545344196825,0.6373766863398109,0.6847604358425792,0.6109725685785536,0.22345420227556975,0.6367706889639995,0.6847604358425792
hist_gradient_boosting,0.6458852867830424,0.23492054102450793,0.682626976891197,0.6875466441116473,0.6483790523690773,0.22449719389348508,0.6402581612371541,0.6875466441116473
decision_tree,0.5610972568578554,0.2583816299763557,0.9684882383243562,0.6038857654609683,0.5610972568578554,0.2414861016714445,0.6774845189938888,0.6038857654609683
