model,factor_group,feature_count,importance_mean,importance_std,positive_fraction
decision_tree,engineered_composites,11,0.024418196780550076,0.01338704645063052,0.9666666666666667
decision_tree,opponent_adjusted_edges,11,0.0039507407177241625,0.011635702636094382,0.6
decision_tree,weakness_vs_strength,11,0.0028212731397311433,0.0032882177829409573,0.8666666666666667
decision_tree,strength_vs_strength,12,0.0009625928177123895,0.0012279813295689686,0.7
decision_tree,three_point_volume_style,2,0.0,0.0,0.0
decision_tree,reliability,1,0.0,0.0,0.0
decision_tree,volatility,2,0.0,0.0,0.0
decision_tree,net_matchup_edges,11,-0.0006613521717880396,0.002987557953449521,0.43333333333333335
decision_tree,strength_vs_weakness,12,-0.001022980476333398,0.006700559224240011,0.43333333333333335
decision_tree,recent_form,12,-0.007043873677503517,0.004343558918724507,0.03333333333333333
decision_tree,raw_matchup_edges,13,-0.018154287999416166,0.007461191198932655,0.0
hist_gradient_boosting,engineered_composites,11,0.036286245070320515,0.008989933982240982,1.0
hist_gradient_boosting,opponent_adjusted_edges,11,0.030873759544388354,0.007377144335068453,1.0
hist_gradient_boosting,recent_form,12,0.01028108018753334,0.004625136206419788,1.0
hist_gradient_boosting,weakness_vs_strength,11,0.010208982751161111,0.004423221202188518,1.0
hist_gradient_boosting,net_matchup_edges,11,0.005973031206980391,0.0018495224515829212,1.0
hist_gradient_boosting,raw_matchup_edges,13,0.002982011404373086,0.0016386063322346225,1.0
hist_gradient_boosting,strength_vs_weakness,12,0.0024324376893897254,0.002054915921283275,0.9
hist_gradient_boosting,volatility,2,0.0005015032776195638,0.0006738544143246105,0.6666666666666666
hist_gradient_boosting,strength_vs_strength,12,0.0004932588438319489,0.0020585715432682424,0.6333333333333333
hist_gradient_boosting,three_point_volume_style,2,-0.0002589249700281811,0.00034334012441172786,0.2
hist_gradient_boosting,reliability,1,-0.0005023260158613874,0.0005839308982194057,0.2
random_forest,engineered_composites,11,0.027770744079764553,0.009527745861043406,1.0
random_forest,opponent_adjusted_edges,11,0.02277957549183301,0.007958368557020404,1.0
random_forest,weakness_vs_strength,11,0.008374482316414448,0.0037478604661021282,1.0
random_forest,recent_form,12,0.0058821056075566425,0.005573888127572977,0.9
random_forest,net_matchup_edges,11,0.003986186740026828,0.002577429005655263,0.9666666666666667
random_forest,strength_vs_strength,12,0.0020885854014921377,0.0016302987018726792,0.9
random_forest,raw_matchup_edges,13,0.0004573528132538862,0.0008978723683302624,0.7
random_forest,reliability,1,0.00013680122742197874,0.00028202260260487864,0.7
random_forest,three_point_volume_style,2,-4.539681412729646e-05,0.00021996933019575028,0.43333333333333335
random_forest,strength_vs_weakness,12,-0.00013960308309616994,0.0026941688723886217,0.5
random_forest,volatility,2,-0.0003337558240095073,0.0004064784478828483,0.2
regularized_logistic,opponent_adjusted_edges,11,0.044624929439584,0.011762579067776092,1.0
regularized_logistic,recent_form,12,0.010215770355626482,0.006358125080515576,1.0
regularized_logistic,weakness_vs_strength,11,0.005587527713195402,0.004134839666514523,0.9
regularized_logistic,engineered_composites,11,0.00453547041636004,0.0047894600638545125,0.8666666666666667
regularized_logistic,strength_vs_strength,12,0.0030743559799703,0.0034383267806666297,0.8666666666666667
regularized_logistic,strength_vs_weakness,12,0.0024222616050521193,0.003469426524133907,0.7
regularized_logistic,net_matchup_edges,11,0.0016975535914781996,0.002153781783534895,0.9
regularized_logistic,three_point_volume_style,2,0.00036141379830276026,0.000508623832198132,0.7
regularized_logistic,raw_matchup_edges,13,-0.000139336273603848,0.0024041522301209398,0.5
regularized_logistic,reliability,1,-0.000455452708306218,0.0009527738958294782,0.3333333333333333
regularized_logistic,volatility,2,-0.0018312002574792448,0.0010735489962081645,0.06666666666666667
soft_voting_ensemble,opponent_adjusted_edges,11,0.026214834494339333,0.00722492954848784,1.0
soft_voting_ensemble,engineered_composites,11,0.022557061390471377,0.007537313531189848,1.0
soft_voting_ensemble,weakness_vs_strength,11,0.007755949109241411,0.0032709549875666864,1.0
soft_voting_ensemble,recent_form,12,0.004950815313555705,0.004327638497090856,0.8333333333333334
soft_voting_ensemble,net_matchup_edges,11,0.003470820937456864,0.0015198872833321365,1.0
soft_voting_ensemble,strength_vs_strength,12,0.0017113911747892526,0.0012686799250828447,0.9
soft_voting_ensemble,strength_vs_weakness,12,0.0007091082101849056,0.0017284281842472845,0.7
soft_voting_ensemble,three_point_volume_style,2,4.762910724498415e-06,0.0001747736312494708,0.4666666666666667
soft_voting_ensemble,reliability,1,-0.00028613624830233403,0.00034072393588109704,0.16666666666666666
soft_voting_ensemble,volatility,2,-0.00038695507294752944,0.00041636681142026067,0.23333333333333334
soft_voting_ensemble,raw_matchup_edges,13,-0.0015338464255930033,0.0014888188292771878,0.16666666666666666
