model,configuration,oof_games,cv_accuracy,cv_brier,cv_log_loss,cv_roc_auc,selected_configuration
decision_tree,"depth=6,leaf=35",658,0.6139817629179332,0.24889788589568224,0.7785208889672324,0.6730035035173835,True
decision_tree,"depth=3,leaf=20",658,0.6352583586626139,0.23395910780794327,0.9832611392328007,0.6838791979810865,False
decision_tree,"depth=5,leaf=25",658,0.6367781155015197,0.2578368368259816,1.0364542119594087,0.6647207816818732,False
decision_tree,"depth=4,leaf=20",658,0.6155015197568389,0.24641537931497648,1.0825117547359915,0.6678499126431681,False
hist_gradient_boosting,"rate=0.025,leaves=7,l2=4.0",658,0.668693009118541,0.21533533780523628,0.621484632990297,0.7304602641966408,True
hist_gradient_boosting,"rate=0.03,leaves=15,l2=4.0",658,0.6550151975683891,0.22572297350121762,0.6538551466458911,0.7234624735387375,False
hist_gradient_boosting,"rate=0.04,leaves=7,l2=2.0",658,0.6458966565349544,0.22667958505555222,0.6610353508134038,0.7225842831655527,False
hist_gradient_boosting,"rate=0.05,leaves=15,l2=2.0",658,0.6398176291793313,0.24002032280485014,0.7230706006559614,0.7213548166430941,False
random_forest,"depth=9,leaf=12,max_features=0.55",658,0.6747720364741642,0.20640108283244926,0.5971251934412113,0.7388724035608307,True
random_forest,"depth=7,leaf=10,max_features=0.45",658,0.6732522796352584,0.20657013227842372,0.5974871294037308,0.7383824657736857,False
random_forest,"depth=5,leaf=8,max_features=0.35",658,0.6793313069908815,0.20646542372672874,0.5976336963683752,0.7390850180722335,False
random_forest,"depth=None,leaf=16,max_features=0.45",658,0.6641337386018237,0.20739272662598962,0.5989270141035109,0.7354520831600062,False
regularized_logistic,C=0.02,658,0.6595744680851063,0.20392355833296724,0.585286964190194,0.7461660057128594,True
regularized_logistic,C=0.05,658,0.662613981762918,0.2066169453873641,0.5922456098283586,0.7441692781275132,False
regularized_logistic,C=0.1,658,0.6671732522796353,0.20831428704469954,0.5979480280844216,0.743965907725302,False
regularized_logistic,C=0.25,658,0.6641337386018237,0.21073804072254354,0.6079597681284991,0.7437625373230909,False
regularized_logistic,C=0.5,658,0.6671732522796353,0.21306653482045654,0.6184945812370982,0.7434482376105827,False
regularized_logistic,C=1.0,658,0.6595744680851063,0.21598241180842973,0.6317127232461957,0.7416363922090647,False
