model,factor_group,feature_count,importance_mean,importance_std,positive_fraction
decision_tree,engineered_composites,13,0.027974716607904307,0.006827261861233117,1.0
decision_tree,steal,7,0.005163548672282762,0.0031806678942664273,0.9
decision_tree,offensive_rebound,7,0.002081031259183404,0.001188398143583391,1.0
decision_tree,block,7,0.001552405371526792,0.0038775847859456483,0.6666666666666666
decision_tree,nonsteal_turnover,7,0.0014248874858844148,0.0018618020893844591,0.8666666666666667
decision_tree,free_throw_rate,7,0.0009075403327957569,0.0015229664705039326,0.7333333333333333
decision_tree,two_point,7,0.00033105634410939276,0.0006701071224141572,0.6333333333333333
decision_tree,turnover,7,0.0,0.0,0.0
decision_tree,three_point,7,0.0,0.0,0.0
decision_tree,assist,7,0.0,0.0,0.0
decision_tree,three_point_rate,4,0.0,0.0,0.0
decision_tree,free_throw_pct,7,-0.0003797744229673124,0.0015208930162441678,0.4
decision_tree,efg,7,-0.0007971081205240038,0.0021272004715853906,0.3
hist_gradient_boosting,engineered_composites,13,0.024847114497526978,0.005744537380579852,1.0
hist_gradient_boosting,efg,7,0.009464865929368845,0.004967161928505181,0.9666666666666667
hist_gradient_boosting,offensive_rebound,7,0.008713066243815607,0.0038898996169003564,1.0
hist_gradient_boosting,nonsteal_turnover,7,0.008487566986529853,0.003126831990498229,1.0
hist_gradient_boosting,two_point,7,0.003179961251492443,0.0011190587067259603,1.0
hist_gradient_boosting,steal,7,0.0027791200077479485,0.0014347329336396827,0.9333333333333333
hist_gradient_boosting,turnover,7,0.002515364921597966,0.0020504916071788573,0.9333333333333333
hist_gradient_boosting,free_throw_pct,7,0.002354247357424899,0.0018497312106846625,0.9
hist_gradient_boosting,three_point,7,0.002045486749028732,0.0005568385193028005,1.0
hist_gradient_boosting,block,7,0.0015722476648213023,0.001485096679532073,0.8333333333333334
hist_gradient_boosting,assist,7,0.0004432291279522419,0.0011222349895671606,0.6666666666666666
hist_gradient_boosting,three_point_rate,4,1.4351037272430922e-06,0.0001710188882751131,0.5
hist_gradient_boosting,free_throw_rate,7,-0.0002990842948358459,0.0026043663810489752,0.5
random_forest,engineered_composites,13,0.034401742669150095,0.009202183882876133,1.0
random_forest,offensive_rebound,7,0.006402382532086725,0.0021249834239837097,1.0
random_forest,efg,7,0.006091004360542019,0.004332029375184412,0.9
random_forest,two_point,7,0.005480918649502239,0.002377078729462524,0.9666666666666667
random_forest,nonsteal_turnover,7,0.0045113924182950205,0.0017222220132112422,1.0
random_forest,steal,7,0.002910029705547797,0.0015982267296119135,1.0
random_forest,turnover,7,0.0023762288834353607,0.0014053960279884414,0.9333333333333333
random_forest,free_throw_pct,7,0.0015730873524385106,0.001279565861182691,0.9
random_forest,three_point,7,0.0012777177834339551,0.0006322702286339944,1.0
random_forest,block,7,0.001166698202361945,0.0011842699815567022,0.8
random_forest,assist,7,0.000453101225666667,0.0006180886455466406,0.8
random_forest,three_point_rate,4,0.0003849326253997846,0.00031930880096740007,0.8333333333333334
random_forest,free_throw_rate,7,0.0002020460849139279,0.0014745518632939664,0.7
regularized_logistic,offensive_rebound,7,0.03382144700670464,0.009347061059133088,1.0
regularized_logistic,efg,7,0.020853274927392456,0.007984156082443994,1.0
regularized_logistic,engineered_composites,13,0.008853284552443849,0.005501425102781402,0.9666666666666667
regularized_logistic,block,7,0.008735911450618432,0.003346771645782975,1.0
regularized_logistic,nonsteal_turnover,7,0.0076860839420398565,0.004344330021440874,0.9666666666666667
regularized_logistic,steal,7,0.006875584233622386,0.0033094088077245776,0.9666666666666667
regularized_logistic,free_throw_pct,7,0.0038041984354573546,0.003469491707974663,0.8
regularized_logistic,two_point,7,0.003200262873240615,0.002140573951461747,0.9333333333333333
regularized_logistic,three_point,7,0.003074064592399021,0.0020982579514874458,0.9
regularized_logistic,free_throw_rate,7,0.0029515531857136844,0.004073269259710129,0.7666666666666667
regularized_logistic,turnover,7,0.001267417047130548,0.001916376649997493,0.7666666666666667
regularized_logistic,three_point_rate,4,0.00034966587968558634,0.00026785033898550035,0.9
regularized_logistic,assist,7,-0.00037500244962258936,0.001512550113666101,0.43333333333333335
soft_voting_ensemble,engineered_composites,13,0.023376732367738604,0.005929083478946193,1.0
soft_voting_ensemble,offensive_rebound,7,0.011230700194468349,0.003587910362407075,1.0
soft_voting_ensemble,efg,7,0.00945340374494987,0.004379494581073123,1.0
soft_voting_ensemble,nonsteal_turnover,7,0.005299704831206971,0.0023657444593802686,1.0
soft_voting_ensemble,steal,7,0.004285498485934017,0.001610600438926817,1.0
soft_voting_ensemble,two_point,7,0.003749705514426989,0.0012332582740523942,1.0
soft_voting_ensemble,block,7,0.002947237784652638,0.0016883373897424898,1.0
soft_voting_ensemble,turnover,7,0.0020674177573668405,0.0010797314772029594,0.9666666666666667
soft_voting_ensemble,free_throw_pct,7,0.0016382229121229479,0.0015247652865747609,0.9
soft_voting_ensemble,three_point,7,0.0012660638454742449,0.0006289642547195911,0.9666666666666667
soft_voting_ensemble,free_throw_rate,7,0.001140422809865734,0.0019997518950354318,0.7333333333333333
soft_voting_ensemble,three_point_rate,4,0.00015307994606418666,0.00011209390632166813,0.9333333333333333
soft_voting_ensemble,assist,7,-0.00015955798058893503,0.0006769338483920029,0.43333333333333335
