model,raw_accuracy,raw_brier,raw_log_loss,raw_roc_auc,calibrated_accuracy,calibrated_brier,calibrated_log_loss,calibrated_roc_auc,training_cv_accuracy,training_cv_brier,training_cv_log_loss,training_cv_roc_auc
hist_gradient_boosting,0.6807980049875312,0.21022209049857268,0.6122641380367576,0.735285337578984,0.6783042394014963,0.20911198748266796,0.6064878174179572,0.735285337578984,0.668693009118541,0.21533533780523628,0.621484632990297,0.7304602641966408
random_forest,0.6633416458852868,0.2100042859611888,0.6088512344245666,0.7317528235235583,0.6633416458852868,0.21011727307736394,0.6089029085380694,0.7317528235235583,0.6747720364741642,0.20640108283244926,0.5971251934412113,0.7388724035608307
soft_voting_ensemble,0.6583541147132169,0.21481810218193345,0.6226335334406237,0.7210557739191005,0.6658354114713217,0.21226256084164297,0.61462765243156,0.7314045474899249,0.6641337386018237,0.2076401091334313,0.598215312479796,0.7372269521247585
regularized_logistic,0.6633416458852868,0.213060257142454,0.6217672274232393,0.7311060251753818,0.6608478802992519,0.21220738079089155,0.616018894279835,0.7311060251753818,0.6595744680851063,0.20392355833296724,0.585286964190194,0.7461660057128594
decision_tree,0.6084788029925187,0.26661207987465524,0.9235971040721531,0.6357032688193441,0.6084788029925187,0.23908751544070767,0.6884725461895571,0.6357032688193441,0.6139817629179332,0.24889788589568224,0.7785208889672324,0.6730035035173835
