model,factor_group,feature_count,importance_mean,importance_std,positive_fraction
two_channel_stack,turnover,7,0.0003770076580649234,0.0002720888308462102,0.9
two_channel_stack,nonsteal_turnover,7,0.0003445670338191015,0.0002713525045786729,0.925
two_channel_stack,steal,7,0.0003208134215903241,0.00048371398345912103,0.775
two_channel_stack,three_point,7,0.0002812763427185838,0.0001923459915557357,0.925
two_channel_stack,block,7,0.0002648430799377183,0.00013712963001661965,0.975
two_channel_stack,offensive_rebound,7,0.000221922163203897,0.0006572657483761508,0.6
two_channel_stack,assist,7,0.00016682458600426886,0.0003088377636400426,0.7
two_channel_stack,three_point_rate,4,-2.5801653107285216e-05,6.749067706336743e-05,0.4
two_channel_stack,free_throw_pct,7,-6.110848335548202e-05,0.00030135259119534486,0.475
two_channel_stack,free_throw_rate,7,-0.00022058332761842325,0.00017911308281591957,0.125
two_channel_stack,engineered_composites,17,-0.00037214026869793193,0.0005410179818358886,0.225
two_channel_stack,two_point,7,-0.0005271309359027504,0.0004266734487470616,0.125
two_channel_stack,efg,7,-0.0006733833277764417,0.0007490232894936632,0.2
